Verb,Verb_Type_Index
idea,2
fundraising,4
undergo,3
appeared,3
matched,3
pursue,6
devaluing,3
overthrow,4
solves,2
mistaken,8
articulate,5
losing,3
endorse,5
communicate,5
electing,3
completes,3
designates,5
claimed,5
canceling,3
designate,5
sustaining,3
bolster,3
democrat,3
justify,2
reintroduced,3
converge,3
raid,1
entitled,3
thirteenth,10
squeezing,1
volunteer,1
monitoring,8
assumes,2
disappear,4
dominated,2
conquer,1
pointed,6
wasted,4
alive,3
approved,3
crossing,6
doubted,7
postpone,3
inject,3
taunted,5
sacred,8
'm,1
decipher,8
folk,10
choked,3
combined,3
life,3
adding,4
warning,5
implement,3
butchered,4
reagan,10
downsize,4
reinforce,3
expecting,3
rain,3
barry,1
sue,10
benefited,3
conceding,2
stand,1
ended,3
ourselves,10
angeles,10
pledge,5
hate,7
pinching,1
withdraw,3
anticipate,2
sitting,3
guilt,7
demonstrates,5
winding,6
doma,3
pressed,3
therefore,10
america,10
sweep,1
bewildered,8
f,3
revise,2
reserve,3
worded,5
stimulate,3
licensing,3
retaining,3
allied,3
sure,5
firing,3
harmed,3
bankrupt,3
unprecedented,3
initiative,2
define,10
wash,1
grind,1
everybody,10
socking,1
celebrating,7
stop,3
chuckled,7
backed,3
closed,3
maintain,3
cut,4
drilled,1
approaching,6
perpetrate,4
involving,8
expose,3
retrain,2
witt,1
mrs.,10
outplayed,2
differing,8
waving,6
read,8
imprisoned,3
prefer,2
shopping,1
bragged,5
belied,5
taunting,5
colombia,10
dedicate,5
formed,4
spur,6
opened,3
avoid,2
financed,3
reinvest,3
thought,2
unlv,3
please,5
wrap,1
mine,4
expires,3
amend,3
redefine,3
banning,3
misled,8
leave,3
talk,5
needed,3
limit,3
blackmail,2
endures,3
providing,4
fire,4
preventing,3
shocking,7
marked,3
accompanied,6
renegotiate,5
whisking,1
rationalized,2
applies,3
task,2
spouting,5
tap,1
pinned,1
related,9
questioned,5
chosen,3
struck,3
outsmarted,2
home,3
charted,3
paris,6
preaching,5
christmas,10
designed,4
staying,3
vetoing,5
observed,8
pirating,4
honored,7
switched,3
interfering,2
slip,3
bothered,7
regulate,3
overfed,3
rifling,4
investing,3
consider,8
sharing,5
amazing,8
bermuda,3
advancing,6
rip,4
stigmatize,8
conceived,4
grieved,7
polled,6
introduced,5
following,8
posing,6
relying,8
ferdinand,6
infested,3
grip,1
undocumented,3
reassert,5
saving,3
jim,1
pours,3
wondering,8
presented,5
banded,3
pretend,2
perot,3
cozying,3
includes,3
itching,8
blocking,1
fulfills,3
nod,6
tout,5
incorrect,8
exempt,3
patrolling,6
selected,3
disrespect,5
alleged,10
skilled,2
stayed,3
compel,2
settling,3
spends,3
fly,6
incites,5
remaining,3
took,3
modernizes,3
misunderstood,8
proceed,3
sound,8
ridding,4
industrialized,3
let,10
promoted,3
automate,4
turned,6
extending,3
quoting,5
parsing,8
teared,7
flowing,3
reassemble,1
troubling,8
retraining,2
accepted,3
understands,8
analyzed,2
inflicting,4
care,7
triple,4
build,4
reminds,8
warren,4
applied,3
climate,3
displayed,5
drowning,3
mediating,5
taught,5
capitol,10
ceded,3
caused,3
wall,4
file,3
averaged,3
speaking,5
proceeding,3
kidnapped,3
silvio,1
fitting,3
knowing,8
healed,3
encompass,3
quivering,7
surprised,8
gorbachev,10
printed,4
purchasing,3
soak,3
counted,8
reaching,6
steadfast,3
bernie,10
confuse,8
suspended,3
penalize,3
maintained,3
letting,3
urging,5
disturbed,8
leased,3
causing,4
counting,8
absorb,3
justified,3
happened,3
figuring,2
signed,5
feeding,1
lend,3
lifted,1
cease,3
resisting,1
persuade,5
raided,4
made,4
're,3
carrying,1
agrees,9
us,5
punished,3
impart,5
thirty,4
reprioritize,2
chris,10
raul,6
protesting,5
stamping,1
proved,3
educating,2
relinquish,3
hoped,7
weakens,3
simpler,8
evident,8
negotiate,5
disapprove,2
moved,6
deter,3
control,2
liquidate,4
graded,3
tutoring,5
disappeared,3
st-,3
persisted,3
developed,3
translate,5
shortchanging,1
rebate,3
waffling,8
slashed,4
general,9
invited,5
drop,1
appealing,8
bin,3
fishing,1
prosecute,3
so,10
speeding,6
mat,3
deserve,3
overcome,2
ensure,3
punishing,1
taxpayer,3
evolved,3
travel,6
worried,7
input,10
harassing,2
pre-empted,3
wake,3
serving,1
lock,3
ruling,3
enslaved,3
penalizes,1
go,6
endorsing,5
bloodshed,4
rue,7
filing,3
disseminated,5
acknowledging,5
playboy,1
counterfeiting,4
develops,3
crushing,3
slashing,4
lobbied,5
approach,6
shut,3
spent,3
fighting,1
reached,6
focus,8
abandoning,3
matching,8
list,5
aim,2
emphasize,5
called,5
stiffen,3
ranting,5
halt,3
discovered,8
enable,3
crucified,3
liberates,3
implicate,5
governed,3
tweeting,5
determine,2
draw,4
grab,1
del,4
researching,2
be,9
relieved,7
taketh,1
tune,3
deregulating,3
joking,5
dislocated,3
faint,3
stranded,3
steppingstones,6
mold,4
suspect,8
remind,5
diverting,8
hit,1
enlisted,3
slowed,3
injured,3
expanded,3
funneling,6
assumed,3
double,4
embody,3
concentrated,8
retaliating,1
passing,6
inspired,8
approached,6
exploit,4
economize,3
cater,4
what,8
dealing,1
fuzzy,8
expired,3
feldstein,4
republican,10
forty,3
castro,1
determining,8
crack,4
relate,5
and/or,10
sending,5
acting,5
iraq,10
deserved,3
festooned,4
escalated,3
threaten,5
pass,6
shifting,6
shredded,4
repaired,3
undertaking,3
excellence,3
detained,3
collected,3
impacted,3
fault,3
hear,8
appraising,8
beg,5
sends,5
outnumbered,3
disabled,3
head,6
income,3
decriminalizing,3
birth,4
adjusted,3
milosevic,10
prohibit,3
interpret,8
manipulate,2
throw,1
gone,3
allowing,3
adjust,3
plot,2
caught,3
reauthorize,3
happen,3
asked,5
doubt,7
bracket,8
confused,8
someplace,6
flawed,3
frittered,4
diplomat,5
focused,8
advised,5
remembered,8
reward,3
change,3
diagnosing,8
produced,4
sanctioned,3
desperate,7
asia,3
rescue,1
defeated,3
discriminates,8
anybody,10
scare,7
charge,1
brings,3
collect,1
caring,7
shutting,3
fit,3
fascinating,8
associated,10
undermining,4
understanding,8
grade,3
determines,3
follow,6
decided,3
discriminate,8
appropriates,3
pursuing,6
holding,1
tree,3
numbered,3
warranted,3
allocating,3
grabbed,1
expand,3
sometimes,10
deleted,4
believe,8
tolerate,7
embrace,7
fell,4
concerned,7
combine,4
collapse,4
peace,3
spinning,6
jump,6
violates,1
budgeted,3
quarantining,3
curing,3
aided,3
concerned.,7
existed,3
roll,6
ã‚,1
retrains,1
poisoned,3
exempts,3
doubled,3
annualized,3
answering,5
've,9
ammo,4
scaring,7
dumping,4
blaming,2
bulldozed,4
enforcing,1
qualified,9
forgiven,3
leaf,3
endured,3
alternate,3
reduces,3
ted,3
stretch,1
handicapped,3
opposes,7
aleppo,10
migrate,6
undermine,4
surplus,3
buried,3
frustrated,7
jailed,3
surrogate,3
consuming,4
enter,6
somehow,10
feeling,7
returned,3
naãƒâ¯ve,8
wielded,4
recommended,5
performs,1
occupying,3
paraphrase,5
outspent,3
search,8
resulting,3
pick,1
experiment,3
expedite,3
forthcoming,6
revealed,5
lending,3
vacillating,8
insisted,5
renewing,3
project,4
mishandled,3
sequestered,3
recommends,5
defeat,2
destabilizing,3
sneak,6
bearing,3
tripled,3
living,3
compete,2
describes,8
attend,2
transition,3
operates,3
s-,3
impeached,3
arisen,3
roundtabled,5
form,4
laying,1
rechecked,8
prayed,5
jumped,6
contrast,8
claim,5
guard,1
responds,5
bringing,6
limp,6
inspected,8
wallop,1
strict,3
wandering,6
best,10
gon,6
lick,1
grows,3
escalating,3
burn,3
stopping,3
achieve,3
qualify,3
turning,6
rant,5
lacking,3
crisscrossed,6
enron,10
guarded,8
characterized,3
dying,3
extrapolate,8
brainwash,2
distorting,8
ought,10
designated,3
remedy,3
stripped,3
advising,5
divert,6
utilized,3
comprise,9
complaining,5
chase,6
hardworking,3
misspoke,5
receiving,3
¢s,3
thrilled,7
cindy,3
pulled,1
persisting,3
unqualified,3
discipline,2
concluded,3
ignores,8
known,8
interviewed,5
dedicated,3
derive,3
married,3
tokyo,10
denigrating,5
hawaii,6
export,6
melting,3
listens,8
hinder,3
succeeded,3
refurbish,3
alienated,7
announced,5
gain,3
somalia,10
integrated,3
entrusted,3
profit,3
repealed,4
restart,3
medicaid,3
deduct,3
you.ã¢â‚¬â,5
disputed,2
arresting,1
serf,3
austin,10
weather,3
step-by-step,6
admit,5
overreact,7
headed,6
reconnected,5
support,1
served,3
laughed,7
exaggerated,8
commend,5
clear,3
amount,9
osama,4
address,5
insists,5
heartbreaking,7
overreaching,2
returning,6
investigated,8
materialized,4
kinder,3
affordable,9
persevere,2
donated,3
disarmed,3
appears,8
mean,5
entrust,3
inflict,4
arm,4
carole,5
waged,1
revealing,5
reenlisting,3
quadrupled,3
vesting,3
went,6
push,1
grasping,1
molded,4
stampede,6
bush,7
questioning,5
decides,3
stimulating,8
authored,4
enforced,3
doomed,3
negotiated,5
curb,1
digging,1
fine,3
uproot,4
slow,3
foremost,8
modernized,3
j.,6
couple,4
growing,3
manipulating,2
rebuilt,4
favored,3
institutionalize,3
stuck,3
discourage,5
practiced,2
remove,4
„,5
vietnam,10
twenty,4
cheating,2
developing,3
rally,6
reopen,3
english,5
reviewed,8
impact,3
singling,5
distort,8
pushing,1
relied,8
waive,3
bury,3
insist,5
choking,3
legalizing,3
negro,3
remark,5
frozen,3
john,1
widowed,3
eat,4
withdrawn,3
prevent,3
owns,3
king,10
refuge,3
dare,7
registering,3
submit,5
experiencing,8
shake,6
diminishing,3
enforcement,1
graduated,3
sprouting,4
alan,1
reporter,5
setting,3
chooses,2
played,1
modifying,8
lie,5
salvage,3
wiped,3
stress,7
panicking,7
asks,5
burning,3
disarm,3
compounding,4
plan,2
seized,3
rearing,4
halliburton,4
plain,8
improve,3
crunch,1
fully-funded,3
straighten,3
alleges,5
predicated,8
banish,3
dumped,3
supersede,3
preach,5
allocated,3
subsidizing,3
refined,3
retired,3
discontinue,4
budget,3
requested,5
dragging,1
raising,3
break,4
w.,6
friendship,3
subject,10
agreed,10
upheld,3
nurtured,3
soil,3
stabilizing,3
bleach,3
including,10
sacrifice,3
criticized,5
view,8
criticizes,5
crush,1
defend,1
disrupting,4
structured,3
disagrees,5
khrushchev,4
eating,4
aiming,6
rebuild,4
evaded,2
sound-bite,5
swamping,4
solving,2
ran,6
drain,3
graduate,3
cede,3
breaking,4
offset,3
hurting,1
quarantine,3
impose,3
italy,10
relating,8
win,3
ten,3
improves,3
fifty,4
surpass,3
south,6
disappears,4
rolling,6
prey,3
reconcile,3
egypt,10
round,3
invite,5
defunding,4
yes,5
flanked,6
ignored,8
massed,3
kept,3
explain,5
joining,3
progress,3
instilling,5
greece,10
meet,5
schedule,4
total,3
guy,10
plunged,3
reflects,8
suffer,7
fought,1
depending,8
nominating,5
launch,1
streamlining,3
assisting,2
honor,7
bombarded,4
till,10
pit,3
reelected,3
electrified,3
crossed,6
strained,3
appeal,5
bering,3
math,3
confront,5
ethiopia,10
belgrade,1
touch,1
rise,3
grown,3
dislike,7
debating,5
instructed,5
excused,3
armed,4
fish,1
settle,3
bleeding,3
enhanced,3
enforces,1
danzig,6
jail,3
thrown,1
saw,8
petition,5
labeled,5
risen,3
stiffed,3
hatred,7
hailed,5
disadvantage,3
exercise,1
belittling,8
argued,5
seen,8
help,3
value,3
wreak,4
sweetie,10
allows,10
disagreeing,5
colorado,3
disallow,3
testifying,5
pounded,1
deceiving,2
stamen,3
hidden,8
broadband,4
ratcheted,3
buy,3
calm,3
keep,3
uphold,3
reprocessing,4
considered,8
fails,3
dealt,3
narrowed,3
complains,5
own,9
dividing,3
assail,1
hated,7
senate,3
winter,3
critique,5
forgotten,8
participate,2
stinking,3
contributing,4
yield,3
watered,3
warrant,3
tarnish,3
converting,3
dismantling,4
climb,6
mess,4
tipper,6
cast,3
scrimping,3
preexisting,3
rounding,3
consenting,2
appreciates,8
compels,2
reinstating,3
spring,6
concluding,3
heard,8
nursing,3
note,8
appear,8
capping,1
harm,3
convincing,5
re-elected,3
jordan,6
transcend,8
exhort,5
doubling,4
planned,3
charged,3
turkey,6
shove,1
wa,6
weaken,3
occurred,3
skewed,8
reassure,5
legislate,3
depressed,7
stepped,6
affords,3
tool,4
regulating,3
affected,3
repay,3
learned,2
destroying,4
committed,3
establishment,4
welcomed,5
employ,3
enabled,3
overpaying,3
abetted,3
strobe,6
resolve,2
playing,6
institute,4
incoming,5
craft,4
ship,7
sang,5
forging,4
yelled,5
uttering,5
richard,1
disclosing,5
aid,3
identified,8
corrupt,3
recalculate,3
invaded,1
disaster,4
covering,1
tear,4
reversed,3
incent,5
stay,3
skim,8
mel,3
bleed,3
gunned,4
squabbling,7
appropriated,3
ranking,8
telegraph,5
tweaked,3
select,2
negotiating,5
wisdom,2
agriculture,3
retaliate,1
past,3
marshal,6
predicate,9
fascinates,8
oppose,2
balancing,3
astonishing,8
participates,3
stapled,3
persuaded,5
disclose,5
adequate,3
sucked,3
examining,8
burdened,3
give,1
affiliated,3
carry,1
severed,4
sustained,3
achieved,3
banking,3
securing,3
descended,6
embracing,7
occur,3
poured,3
ban,3
kenya,10
politicized,3
bogged,3
set,3
tuning,1
chart,4
bombarding,4
coddle,7
fill,3
according,5
threw,1
perpetrating,4
unwilling,7
compliment,5
modernizing,3
overridden,3
expire,3
certified,3
japan,4
running,6
candy,4
sit,1
arizona,10
hey,5
astonished,8
lived,3
tested,3
accused,10
whirling,6
eliminates,4
experience,8
rebuked,5
grow,3
insofar,9
darn,4
disappointed,7
bound,3
l985,1
touted,5
agreeing,5
sentenced,3
happens,3
live-we,3
attached,3
organized,2
directed,5
beef,9
hoping,7
solidify,3
wave,6
recapture,1
channel,5
weatherize,3
portrayed,5
resulted,3
populated,3
apologize,5
gathered,3
reforming,3
thanked,5
ã¢â€°â¤,1
retract,3
derived,3
received,5
campaigned,5
taxed,3
spain,10
dress,1
genuine,8
furlough,3
complain,5
risk,3
accelerated,3
rushed,1
haunted,8
itãâ‚¬s,9
repaying,3
evaluating,8
mention,5
stealing,1
confirmed,5
opposed,3
sweeping,1
refix,4
exercised,1
netanyahu,10
diverted,6
accompanying,6
los,3
emanates,5
adopt,3
reregistering,3
boy,1
wikileaks,5
whispering,5
handed,5
waziristan,6
coddling,7
commended,5
pressured,3
politicizing,5
typified,3
inherit,3
friend,4
powered,3
insuring,3
reconstituted,3
exxon,4
expediting,3
amusing,8
earmark,4
behave,9
eaten,3
picking,1
managed,3
washed,3
notice,8
opening,3
marching,6
winifred,1
confronting,5
most,10
referring,5
plead,5
cropped,3
exhaust,3
square,3
eleven,10
rent,3
implied,5
prevented,3
bother,7
[,3
brought,3
evaporate,3
remembering,8
predicting,8
wanted,7
raped,3
top,6
filling,3
beginning,3
rule,3
offer,5
advertised,5
backing,6
estimated,8
drive,6
tonight,6
explore,6
justice,3
hesitate,2
flat-lined,3
fast,3
obsolete,3
reiterated,5
banishing,3
promising,5
responded,5
defining,5
rolled,6
remember,8
ask/do,5
brass,4
re-join,6
presiding,3
instructs,5
verified,3
beat,1
illustrated,4
hire,3
checked,8
upstate,6
nil,9
comment,5
compensate,3
erode,4
diminishes,3
transferring,6
prepared,3
maintains,3
consult,5
isolating,9
study,2
ford,6
disrupt,4
loaded,3
addressing,5
leveled,4
pool,4
improving,3
apologizing,5
kuwait,4
solyndra,3
spawned,4
gallup,6
relish,8
prompted,5
misstates,5
shocked,7
minimize,3
ann,5
multiplied,3
disclosed,5
surround,1
iã¢â‚¬â,1
bickering,5
regarding,8
staving,3
began,3
flooding,4
quote,5
exacerbating,3
pac,1
chew,1
ordered,5
mentioning,5
owed,3
like,7
grinding,1
regard,8
attain,3
that.,10
puffing,1
bear,3
timetable,4
